"Metric","Mean","SD","Min","Max","CI_95"
"AUC",0.715,0.024,0.669,0.766,"[0.668, 0.762]"
"Accuracy",0.732,0.07,0.595,0.835,"[0.595, 0.869]"
"Sensitivity",0.622,0.147,0.381,0.905,"[0.334, 0.91]"
"Specificity",0.771,0.146,0.483,1,"[0.485, 1]"
"Precision",0.555,0.163,0.388,1,"[0.236, 0.874]"
"F1",0.553,0.026,0.511,0.634,"[0.502, 0.604]"
