"Family","Variable","Overall (N=397)","Continued BZRA (n=304)","Discontinued BZRA (n=93)","P (uncorrected)","P (FDR-corrected)","Test Used","Effect Size (SMD)","Significant (FDR < .05)"
NA,"X...4.13","   47 (11.8) ","   37 (12.2) ","   10 ( 10.8) ","",NA,"","",NA
NA,"X...5.8","   16 ( 4.0) ","   12 ( 3.9) ","    4 (  4.3) ","",NA,"","",NA
NA,"safety_4....","  ","  ","   "," 0.017",NA,""," 0.374",NA
NA,"X...1.15","   67 (16.9) ","   51 (16.8) ","   16 ( 17.2) ","",NA,"","",NA
NA,"X...2.15","  102 (25.7) ","   83 (27.3) ","   19 ( 20.4) ","",NA,"","",NA
NA,"X...3.13","   32 ( 8.1) ","   17 ( 5.6) ","   15 ( 16.1) ","",NA,"","",NA
NA,"X...4.14","  102 (25.7) ","   82 (27.0) ","   20 ( 21.5) ","",NA,"","",NA
NA,"X...5.9","   94 (23.7) ","   71 (23.4) ","   23 ( 24.7) ","",NA,"","",NA
NA,"adls_1....","  ","  ","   "," 0.007",NA,""," 0.396",NA
NA,"X...1.16","  134 (33.8) ","  107 (35.2) ","   27 ( 29.0) ","",NA,"","",NA
NA,"X...2.16","  154 (38.8) ","  124 (40.8) ","   30 ( 32.3) ","",NA,"","",NA
NA,"X...3.14","   42 (10.6) ","   29 ( 9.5) ","   13 ( 14.0) ","",NA,"","",NA
NA,"X...4.15","   18 ( 4.5) ","    8 ( 2.6) ","   10 ( 10.8) ","",NA,"","",NA
NA,"X...5.10","   49 (12.3) ","   36 (11.8) ","   13 ( 14.0) ","",NA,"","",NA
NA,"adls_2....","  ","  ","   "," 0.036",NA,""," 0.355",NA
NA,"X...1.17","  150 (37.8) ","  120 (39.5) ","   30 ( 32.3) ","",NA,"","",NA
NA,"X...2.17","  147 (37.0) ","  118 (38.8) ","   29 ( 31.2) ","",NA,"","",NA
NA,"X...3.15","   35 ( 8.8) ","   24 ( 7.9) ","   11 ( 11.8) ","",NA,"","",NA
NA,"X...4.16","   12 ( 3.0) ","    6 ( 2.0) ","    6 (  6.5) ","",NA,"","",NA
NA,"X...5.11","   53 (13.4) ","   36 (11.8) ","   17 ( 18.3) ","",NA,"","",NA
NA,"dependence_1....","  ","  ","   "," 0.466",NA,""," 0.213",NA
NA,"X...1.18","   34 ( 8.6) ","   22 ( 7.2) ","   12 ( 12.9) ","",NA,"","",NA
NA,"X...2.18","   67 (16.9) ","   50 (16.4) ","   17 ( 18.3) ","",NA,"","",NA
NA,"X...3.16","   60 (15.1) ","   46 (15.1) ","   14 ( 15.1) ","",NA,"","",NA
NA,"X...4.17","  151 (38.0) ","  118 (38.8) ","   33 ( 35.5) ","",NA,"","",NA
NA,"X...5.12","   85 (21.4) ","   68 (22.4) ","   17 ( 18.3) ","",NA,"","",NA
NA,"dependence_2....","  ","  ","   "," 0.405",NA,""," 0.238",NA
NA,"X...1.19","   33 ( 8.3) ","   23 ( 7.6) ","   10 ( 10.8) ","",NA,"","",NA
NA,"X...2.19","   85 (21.4) ","   61 (20.1) ","   24 ( 25.8) ","",NA,"","",NA
NA,"X...3.17","   53 (13.4) ","   39 (12.8) ","   14 ( 15.1) ","",NA,"","",NA
NA,"X...4.18","  164 (41.3) ","  130 (42.8) ","   34 ( 36.6) ","",NA,"","",NA
NA,"X...5.13","   62 (15.6) ","   51 (16.8) ","   11 ( 11.8) ","",NA,"","",NA
NA,"dependence_3....","  ","  ","   "," 0.732",NA,""," 0.170",NA
NA,"X...1.20","   42 (10.6) ","   31 (10.2) ","   11 ( 11.8) ","",NA,"","",NA
NA,"X...2.20","  116 (29.2) ","   92 (30.3) ","   24 ( 25.8) ","",NA,"","",NA
NA,"X...3.18","   73 (18.4) ","   53 (17.4) ","   20 ( 21.5) ","",NA,"","",NA
NA,"X...4.19","  104 (26.2) ","   78 (25.7) ","   26 ( 28.0) ","",NA,"","",NA
NA,"X...5.14","   62 (15.6) ","   50 (16.4) ","   12 ( 12.9) ","",NA,"","",NA
NA,"stop_wdl_exp_combined....","  ","  ","   ","<0.001",NA,""," 1.578",NA
NA,"X...0.6","  162 (40.8) ","   81 (26.6) ","   81 ( 87.1) ","",NA,"","",NA
NA,"X...1.21","  123 (31.0) ","  119 (39.1) ","    4 (  4.3) ","",NA,"","",NA
NA,"X...2.21","    3 ( 0.8) ","    2 ( 0.7) ","    1 (  1.1) ","",NA,"","",NA
NA,"X...3.19","    1 ( 0.3) ","    1 ( 0.3) ","    0 (  0.0) ","",NA,"","",NA
NA,"X...4.20","    1 ( 0.3) ","    1 ( 0.3) ","    0 (  0.0) ","",NA,"","",NA
NA,"X...5.15","  107 (27.0) ","  100 (32.9) ","    7 (  7.5) ","",NA,"","",NA
NA,"wdl_symptom_count..mean..SD.."," 0.95 (1.00)"," 1.18 (0.99)"," 0.22 (0.61)","<0.001",NA,""," 1.180",NA
NA,"motivation_1..mean..SD.."," 3.18 (1.25)"," 3.29 (1.22)"," 2.81 (1.25)"," 0.001",NA,""," 0.393",NA
NA,"motivation_2..mean..SD.."," 2.43 (1.17)"," 2.51 (1.19)"," 2.16 (1.07)"," 0.011",NA,""," 0.312",NA
NA,"motivation_3..mean..SD.."," 2.74 (1.30)"," 2.70 (1.28)"," 2.88 (1.37)"," 0.241",NA,""," 0.137",NA
NA,"desires_1..mean..SD.."," 2.66 (1.15)"," 2.59 (1.13)"," 2.91 (1.20)"," 0.017",NA,""," 0.279",NA
NA,"desires_2..mean..SD.."," 2.53 (0.97)"," 2.49 (0.95)"," 2.63 (1.02)"," 0.221",NA,""," 0.143",NA
NA,"desires_3..mean..SD.."," 3.67 (1.14)"," 3.60 (1.13)"," 3.90 (1.15)"," 0.026",NA,""," 0.264",NA
NA,"capability_1..mean..SD.."," 3.12 (1.20)"," 2.96 (1.14)"," 3.66 (1.24)","<0.001",NA,""," 0.587",NA
NA,"capability..mean..SD.."," 3.17 (1.29)"," 3.35 (1.22)"," 2.59 (1.33)","<0.001",NA,""," 0.591",NA
NA,"BFI_Extraversion..mean..SD.."," 3.23 (1.04)"," 3.15 (1.03)"," 3.47 (1.07)"," 0.009",NA,""," 0.306",NA
NA,"BFI_Agreeableness..mean..SD.."," 3.71 (0.90)"," 3.69 (0.91)"," 3.80 (0.88)"," 0.319",NA,""," 0.119",NA
NA,"BFI_Conscientiousness..mean..SD.."," 4.10 (0.88)"," 4.09 (0.89)"," 4.10 (0.85)"," 0.936",NA,""," 0.010",NA
NA,"BFI_Neuroticism..mean..SD.."," 2.92 (1.02)"," 2.90 (1.04)"," 2.97 (0.95)"," 0.562",NA,""," 0.070",NA
NA,"BFI_Openness..mean..SD.."," 3.52 (0.92)"," 3.48 (0.90)"," 3.65 (0.97)"," 0.122",NA,""," 0.180",NA
NA,"SURPS_Impulsivity..mean..SD.."," 2.09 (0.53)"," 2.08 (0.53)"," 2.12 (0.52)"," 0.502",NA,""," 0.080",NA
NA,"SURPS_Sensation_Seeking..mean..SD.."," 1.96 (0.53)"," 1.95 (0.53)"," 1.99 (0.54)"," 0.488",NA,""," 0.082",NA
NA,"SURPS_Hopelessness..mean..SD.."," 2.07 (0.50)"," 2.08 (0.49)"," 2.05 (0.54)"," 0.628",NA,""," 0.056",NA
NA,"SURPS_Anxiety_Sensitivity..mean..SD.."," 2.58 (0.50)"," 2.59 (0.49)"," 2.53 (0.53)"," 0.331",NA,""," 0.113",NA
NA,"DBAS_Consequences..mean..SD.."," 5.76 (2.10)"," 5.81 (2.09)"," 5.58 (2.12)"," 0.372",NA,""," 0.106",NA
NA,"DBAS_Worry_Helplessness..mean..SD.."," 6.04 (1.81)"," 6.10 (1.82)"," 5.85 (1.79)"," 0.234",NA,""," 0.142",NA
NA,"DBAS_Expectations..mean..SD.."," 6.26 (2.29)"," 6.26 (2.32)"," 6.26 (2.18)"," 0.989",NA,""," 0.002",NA
NA,"DBAS_Medications..mean..SD.."," 5.53 (2.00)"," 5.87 (1.82)"," 4.40 (2.17)","<0.001",NA,""," 0.737",NA
NA,"CISS_Task..mean..SD.."," 3.69 (0.66)"," 3.70 (0.66)"," 3.66 (0.63)"," 0.588",NA,""," 0.065",NA
NA,"CISS_Emotion..mean..SD.."," 2.91 (0.87)"," 2.94 (0.87)"," 2.81 (0.87)"," 0.186",NA,""," 0.157",NA
NA,"CISS_Avoidance..mean..SD.."," 2.81 (0.75)"," 2.80 (0.75)"," 2.84 (0.74)"," 0.678",NA,""," 0.049",NA
