Model,AIC,BIC,df,Delta_AIC,Delta_BIC
Categorical,330.0647014074993,341.1860322017459,3,0,1.8888115044092046
Linear,331.88300016783893,339.2972206973367,2,1.818298760339644,0
Quadratic,333.57768133888237,344.699012133129,3,3.512979931383086,5.4017914357922905
Spline (3df),335.3507784131086,350.17921947210414,4,5.286077005609343,10.881998774767453
