term,Firth_OR,Firth_p,Firth_OR_CI,Standard_OR,Standard_p,Standard_OR_formatted,OR_diff_pct,Direction,Sig_change
sex,0.8030736242415757,0.3971959200494,"0.80 [0.48, 1.33]",0.7959505867343712,0.385270550918804,0.80,0.8949095114596078,≈ Similar,✓ Consistent
BFI_Extraversion,1.3241601537571122,0.022805046017138317,"1.32 [1.04, 1.69]",1.3311777795311832,0.023068389792848355,1.33,-0.5271741973143916,≈ Similar,✓ Consistent
DBAS_Medications,0.8392707221570246,0.012102799459919801,"0.84 [0.73, 0.96]",0.836646428818526,0.012526619487638986,0.84,0.31366814559938655,≈ Similar,✓ Consistent
age,0.9695775401960498,0.13933463309167318,"0.97 [0.93, 1.01]",0.9686718359703023,0.13447343731247188,0.97,0.09349959316617379,≈ Similar,✓ Consistent
