Case_ID,Cooks_D,Influential
234,0.05224177488025094,TRUE
294,0.04316155447269482,TRUE
208,0.041365589705651774,TRUE
261,0.03291382595374588,TRUE
191,0.028888583209725493,TRUE
215,0.027661471461505674,TRUE
70,0.023553527636583003,TRUE
170,0.02353281230945818,TRUE
48,0.02270606476065203,TRUE
252,0.022243409205845662,TRUE
297,0.02182541480511732,TRUE
133,0.021179448752025806,TRUE
225,0.021164703735405622,TRUE
52,0.020089333159037374,TRUE
264,0.019511406752555686,TRUE
139,0.01643900028945264,TRUE
84,0.01559207649109358,TRUE
268,0.01548000775192313,TRUE
124,0.01514816774507457,TRUE
6,0.014823111763114393,TRUE
61,0.014650293225905687,TRUE
135,0.014230022603966745,TRUE
220,0.013699130232730467,TRUE
21,0.013689510175782946,TRUE
42,0.01364286317052227,TRUE
282,0.013513691146528102,TRUE
91,0.013473229386054678,TRUE
