"participant_id","consensus_cluster","agreement","imp_1","imp_2","imp_3","imp_4","imp_5","imp_6","imp_7","imp_8","imp_9","imp_10","imp_11","imp_12","imp_13","imp_14","imp_15","imp_16","imp_17","imp_18","imp_19","imp_20"
356,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
357,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
358,7,0.2,2,5,10,6,6,3,3,10,7,10,1,9,9,8,5,7,7,6,8,7
359,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
360,10,0.2,7,10,8,3,1,10,10,5,4,6,8,1,1,7,10,8,6,2,7,8
361,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
362,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
363,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
364,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
365,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
366,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
367,7,0.25,2,5,10,6,6,3,3,10,7,10,1,9,7,8,5,7,7,10,8,7
368,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
369,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
370,2,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,2,7,10,2,9,9,10
371,8,0.2,3,8,5,8,5,10,7,9,6,4,8,2,8,7,10,5,3,7,10,3
372,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
373,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,2,4,8,6,2,7,8
374,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
375,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
376,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
377,10,0.2,7,10,8,3,1,10,10,5,4,6,8,1,1,7,10,8,6,2,7,8
378,7,0.25,2,5,10,6,6,3,3,10,7,10,1,9,7,8,5,7,7,10,8,7
379,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
380,7,0.25,2,5,10,6,6,3,3,10,7,10,1,9,7,8,5,7,7,10,8,7
381,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
382,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
383,2,0.2,5,2,2,1,9,5,9,6,8,3,7,6,5,2,7,10,2,9,9,10
384,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
385,6,0.2,7,10,8,5,10,6,2,1,4,6,10,1,1,5,6,8,6,2,7,8
386,5,0.2,6,7,1,5,10,6,2,1,10,5,10,10,2,5,6,2,4,8,5,9
387,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
388,6,0.25,8,1,7,2,2,2,5,7,2,7,6,3,9,6,8,6,9,6,1,6
389,10,0.2,7,10,8,3,1,10,10,5,4,6,8,1,1,7,10,8,6,2,7,8
390,8,0.2,7,10,8,3,1,8,10,5,4,6,9,1,1,3,4,8,6,2,7,8
391,4,0.2,9,4,6,7,3,7,8,4,9,1,4,4,3,2,2,1,8,3,3,5
392,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
393,4,0.2,9,4,6,7,3,7,8,4,9,1,4,4,3,2,2,1,8,3,3,5
394,3,0.2,10,3,3,9,8,4,6,2,5,2,3,5,4,1,3,4,1,5,6,2
395,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
396,4,0.25,9,4,6,7,3,7,8,4,9,1,4,4,3,4,2,1,8,3,3,5
397,1,0.3,1,9,9,4,7,1,1,8,3,9,2,8,10,9,1,9,5,1,2,1
398,4,0.2,9,4,6,7,3,7,8,4,9,1,4,4,3,2,2,1,8,3,3,5
