"","1","2","3","4","5","7","9","10","11","12","13","14"
"1",7.4,27.5,1.6,12.7,2.5,10.7,29.9,2,1.2,2,2,0.4
"2",10.4,26.6,1.9,23.4,2.6,11,16.9,3.2,2.6,0.6,0.6,0
