"Variable","Type","Continuers","Discontinuers","test","p","q_value","effect_size"
"DBAS_Medications","Continuous","5.84 (1.86)","4.55 (2.22)","Mann-Whitney U",4.05957971070927e-07,6.90128550820576e-06,0.346597340124505
"Extraversion","Continuous","6.2 (2.08)","7 (2.03)","Mann-Whitney U",0.00238877641310685,0.0203045995114082,-0.205503678551217
