Fold,Mean_AUC,SD_AUC
1,0.524,0.04134578193976413
2,0.837987012987013,0.026623561860401407
3,0.6526645768025078,0.03611072149021417
4,0.557258064516129,0.06391457749253861
5,0.6625541125541126,0.030561505463009536
6,0.6700980392156862,0.05555277315519726
7,0.6808333333333333,0.051068982128808046
8,0.586,0.03283784984411332
9,0.5618518518518518,0.03866033273240158
10,0.5996551724137931,0.08570744610763267
