"term","OR_m2","p_m2","OR_m5","p_m5","OR_change","OR_pct_change","sig_m2","sig_m5","remains_sig","becomes_nonsig"
"BFI_Extraversion",1.53150559669601,0.00436373552431535,1.5152742895992,0.00630166101929154,-0.0162313070968141,-1.05982682216967,TRUE,TRUE,TRUE,FALSE
"BFI_Agreeableness",1.16780890400883,0.385948789066886,1.17283940845241,0.383922808579579,0.00503050444358411,0.430764350769677,FALSE,FALSE,FALSE,FALSE
"BFI_Conscientiousness",0.953284548998347,0.787141120462204,0.911761772537147,0.611973068672976,-0.0415227764611998,-4.3557588869797,FALSE,FALSE,FALSE,FALSE
"BFI_Neuroticism",1.15574400849048,0.376480872276607,1.20707662360784,0.262073540788113,0.0513326151173619,4.4415211967577,FALSE,FALSE,FALSE,FALSE
"BFI_Openness",1.3492949924803,0.0759103833509935,1.42977569680577,0.0396620610485287,0.0804807043254727,5.96464855898794,FALSE,TRUE,FALSE,FALSE
"DBAS_Consequences",0.999143689129779,0.992910793252173,0.987263643578219,0.896921603484267,-0.0118800455515592,-1.18902272824305,FALSE,FALSE,FALSE,FALSE
"DBAS_Worry_Helplessness",1.17850208248947,0.136041801277796,1.1969201383449,0.108125354278071,0.0184180558554359,1.56283608905719,FALSE,FALSE,FALSE,FALSE
"DBAS_Expectations",1.00316087573828,0.963062814366133,0.96913726157858,0.655569765576258,-0.0340236141597017,-3.39164086066074,FALSE,FALSE,FALSE,FALSE
"DBAS_Medications",0.598792700575592,2.63885541678146e-09,0.620306034520011,7.04961742751676e-08,0.0215133339444195,3.59278493604543,TRUE,TRUE,TRUE,FALSE
"SURPS_Impulsivity",1.22973673462925,0.561970733481153,1.15863991866055,0.699105657799852,-0.0710968159687044,-5.78146638761174,FALSE,FALSE,FALSE,FALSE
"SURPS_Sensation_Seeking",0.863453942307035,0.599537667110008,0.884612675708233,0.672696814656072,0.0211587334011982,2.45047620544356,FALSE,FALSE,FALSE,FALSE
"SURPS_Hopelessness",1.02558802271499,0.949235577194295,0.996143222884252,0.992368450522508,-0.0294447998307354,-2.87101635145735,FALSE,FALSE,FALSE,FALSE
"SURPS_Anxiety_Sensitivity",0.773886897764441,0.411892293046159,0.724903967318124,0.320515706673653,-0.0489829304463174,-6.32946889110236,FALSE,FALSE,FALSE,FALSE
"CISS_Task",0.702525770442243,0.162418906443163,0.681873070634466,0.134820047402194,-0.0206526998077766,-2.93977825109186,FALSE,FALSE,FALSE,FALSE
"CISS_Emotion",0.68401840055135,0.0815081896016441,0.616668771176873,0.0360956304269674,-0.0673496293744767,-9.84617216732618,FALSE,TRUE,FALSE,FALSE
"CISS_Avoidance",1.15339264474105,0.49176758842353,1.21877570942566,0.35699160861207,0.0653830646846034,5.66876032916636,FALSE,FALSE,FALSE,FALSE
