"Variable","Type","Continuer","Discontinuer","Test","p_value","Cohens_d","Cohens_d_95CI","Rank_Biserial","Rank_Biserial_95CI","Cramers_V","Cramers_V_95CI","q_value_domain","Significant_FDR","Effect_Interpretation"
"age","Continuous","73.56 (6.05)","72.48 (6.11)","Mann-Whitney U",0.0891370900152122,0.177336714395437,"[-0.06, 0.41]",0.116298811544991,"[-0.02, 0.25]",NA,NA,0.623959630106485,FALSE,"Negligible"
"education_level","Categorical","High School or Less: 69 (22.7%); University/Trade School: 235 (77.3%)","High School or Less: 15 (16.1%); University/Trade School: 78 (83.9%)","Chi-square",0.225493118279713,NA,NA,NA,NA,0.0460359120088288,"[0, 1]",0.697060293970603,FALSE,"Negligible"
"sex","Categorical","Female: 191 (62.8%); Male: 113 (37.2%)","Female: 64 (68.8%); Male: 29 (31.2%)","Chi-square",0.35202104423371,NA,NA,NA,NA,0.0165907952989389,"[0, 1]",0.697060293970603,FALSE,"Negligible"
"employment_status","Categorical","Full- or Part-Time Work: 20 (6.6%); Not in Workforce: 284 (93.4%)","Full- or Part-Time Work: 9 (9.7%); Not in Workforce: 84 (90.3%)","Chi-square",0.43707183224599,NA,NA,NA,NA,0.00425931119135078,"[0, 1]",0.697060293970603,FALSE,"Negligible"
"region","Categorical","Western Canada: 118 (38.8%); Central Canada: 86 (28.3%); Atlantic Canada: 96 (31.6%); Territories: 4 (1.3%)","Western Canada: 37 (39.8%); Central Canada: 20 (21.5%); Atlantic Canada: 34 (36.6%); Territories: 2 (2.2%)","Fisher's Exact",0.497900209979002,NA,NA,NA,NA,0,"[0, 1]",0.697060293970603,FALSE,"Negligible"
"driving_freq","Categorical","Do not drive: 17 (5.5%); Less than 1 day/week: 22 (7.4%); 1-3 days/week: 87 (28.8%); 4-7 days/week: 177 (58.4%)","Do not drive: 5 (4.9%); Less than 1 day/week: 7 (7.5%); 1-3 days/week: 23 (24.7%); 4-7 days/week: 58 (62.9%)","Fisher's Exact",0.850266005895913,NA,NA,NA,NA,0.000564858993627096,"[0, 1]",0.870962903709629,FALSE,"Negligible"
"income","Categorical","$15,000 or less: 2 (0.7%); $15,000 to $30,000: 32 (10.7%); $30,000 to $50,000: 54 (17.8%); $50,000 to $80,000: 79 (26.1%); $80,000 or more: 136 (44.7%)","$15,000 or less: 1 (1.1%); $15,000 to $30,000: 10 (10.8%); $30,000 to $50,000: 18 (19.4%); $50,000 to $80,000: 27 (29%); $80,000 or more: 37 (39.8%)","Fisher's Exact",0.870962903709629,NA,NA,NA,NA,0,"[0, 1]",0.870962903709629,FALSE,"Negligible"
