Resample,n,n_events,AUC
Fold01,31,8,0.5380434782608695
Fold02,30,7,0.6273291925465838
Fold03,30,7,0.7080745341614906
Fold04,30,7,0.670807453416149
Fold05,30,7,0.6956521739130435
Fold06,30,7,0.5838509316770186
Fold07,30,7,0.5590062111801242
Fold08,30,7,0.7018633540372671
Fold09,30,7,0.47204968944099374
Fold10,30,7,0.6832298136645962
