Fold,Mean_AUC,SD_AUC
1,0.5325,0.052134273334730113
2,0.8303030303030303,0.03886218186672119
3,0.6396551724137931,0.05001707786976425
4,0.6381720430107527,0.07736829067668187
5,0.529004329004329,0.05380592092055717
6,0.6026960784313725,0.07346014969735043
7,0.6371666666666667,0.06414780994287987
8,0.6134285714285714,0.04543240159765035
9,0.5224074074074074,0.03704629513917814
10,0.6120689655172414,0.08000954320700128
