Model,Description,N_Predictors,EPV,AUC,AUC_Lower,AUC_Upper,AUC_formatted,EPV_status
Model 1,VSURF Personality,8,11.625,0.6611718307866441,0.6309549058729431,0.6913887557003451,"0.661 [0.631, 0.691]",✓
Model 2,VSURF Full,10,9.3,0.6725435059422751,0.6475934189276853,0.6974935929568649,"0.673 [0.648, 0.697]",⚠️
Model 3,Minimal Robust,4,23.25,0.6480342741935484,0.6281558009181025,0.6679127474689943,"0.648 [0.628, 0.668]",✓
