"Variable","Type","Continuer","Discontinuer","Test","p_value","Cohens_d","Cohens_d_95CI","Rank_Biserial","Rank_Biserial_95CI","Cramers_V","Cramers_V_95CI","q_value_domain","Significant_FDR","Effect_Interpretation"
"safety_2","Categorical","1: 9 (3%); 2: 42 (13.7%); 3: 96 (31.7%); 4: 129 (42.3%); 5: 29 (9.4%)","1: 5 (5.3%); 2: 11 (11.9%); 3: 28 (30%); 4: 39 (41.8%); 5: 10 (11%)","Fisher's Exact",0.501349865013499,NA,NA,NA,NA,0.0285281199583063,"[0, 1]",0.706447537064475,FALSE,"Negligible"
"dependence_1","Categorical","1: 20 (6.6%); 2: 29 (9.7%); 3: 49 (16.2%); 4: 133 (43.6%); 5: 72 (23.8%)","1: 8 (8.6%); 2: 10 (11%); 3: 15 (16.6%); 4: 41 (43.8%); 5: 19 (20.1%)","Chi-square",0.556385770623104,NA,NA,NA,NA,0.0218479964457215,"[0, 1]",0.749911256057228,FALSE,"Negligible"
"side_effects_1","Categorical","1: 67 (22.1%); 2: 156 (51.2%); 3: 21 (7%); 4: 52 (17.1%); 5: 8 (2.6%)","1: 22 (23.7%); 2: 44 (46.9%); 3: 7 (7.9%); 4: 17 (18.2%); 5: 3 (3.3%)","Fisher's Exact",0.62973702629737,NA,NA,NA,NA,0.0175150332226805,"[0, 1]",0.760190810390368,FALSE,"Negligible"
"alc_sleep","Categorical","0: 289 (95.1%); 1: 3 (1%); 2: 5 (1.6%); 3: 2 (0.7%); 4: 5 (1.6%)","0: 88 (94.6%); 2: 2 (2.2%); 3: 2 (2.2%); 4: 1 (1.1%)","Fisher's Exact",0.636836316368363,NA,NA,NA,NA,0,"[0, 1]",0.760190810390368,FALSE,"Negligible"
"phq2_score","Continuous","1.37 (1.55)","1.33 (1.65)","Mann-Whitney U",0.637579389359664,0.0223057454056555,"[-0.21, 0.25]",0.030631013016412,"[-0.1, 0.16]",NA,NA,0.760190810390368,FALSE,"Negligible"
"n_ment_conditions","Continuous","0.78 (0.98)","0.76 (0.89)","Mann-Whitney U",0.842663533341032,0.020252365058518,"[-0.21, 0.25]",-0.0125212224108659,"[-0.15, 0.12]",NA,NA,0.967502575317481,FALSE,"Negligible"
"osss_3_score","Continuous","10.23 (2.24)","10.15 (2.41)","Mann-Whitney U",0.888437411587636,0.0348959794555478,"[-0.2, 0.27]",0.00955008488964348,"[-0.12, 0.14]",NA,NA,0.98362713425774,FALSE,"Negligible"
"can_sleep","Categorical","0: 264 (86.8%); 1: 14 (4.6%); 2: 6 (2%); 3: 4 (1.3%); 4: 16 (5.3%)","0: 80 (86%); 1: 6 (6.5%); 2: 2 (2.2%); 3: 1 (1.1%); 4: 4 (4.3%)","Fisher's Exact",0.958304169583042,NA,NA,NA,NA,0,"[0, 1]",1,FALSE,"Negligible"
"def_insomnia___2","Categorical","0: 67 (22%); 1: 237 (78%)","0: 20 (21.5%); 1: 73 (78.5%)","Chi-square",0.999999999999999,NA,NA,NA,NA,0,"[0, 1]",1,FALSE,"Negligible"
"op_sleep","Categorical","0: 297 (97.7%); 1: 2 (0.7%); 2: 2 (0.7%); 4: 3 (1%)","0: 93 (100%)","Fisher's Exact",1,NA,NA,NA,NA,0,"[0, 1]",1,FALSE,"Negligible"
