term,estimate,OR,OR_lower,OR_upper,p_value,sig,OR_CI
BFI_Extraversion,0.2807784122516969,1.3241601537571122,1.0398287533052746,1.6862393035627985,0.022805046017138317,*,"1.32 [1.04, 1.69]"
DBAS_Medications,-0.17522195214647832,0.8392707221570246,0.7319112989108888,0.9623780178255346,0.012102799459919801,*,"0.84 [0.73, 0.96]"
age,-0.0308948279245989,0.9695775401960498,0.9306636084911096,1.0101185840679652,0.13933463309167318,,"0.97 [0.93, 1.01]"
sex,-0.21930888276064528,0.8030736242415757,0.48334895121113747,1.3342891183201948,0.3971959200494,,"0.80 [0.48, 1.33]"
