"","Overall"
"dependence_1 (%)","  "
"   1","   34 ( 8.6) "
"   2","   67 (16.9) "
"   3","   60 (15.1) "
"   4","  151 (38.0) "
"   5","   85 (21.4) "
"dependence_2 (%)","  "
"   1","   33 ( 8.3) "
"   2","   85 (21.4) "
"   3","   53 (13.4) "
"   4","  164 (41.3) "
"   5","   62 (15.6) "
"dependence_3 (%)","  "
"   1","   42 (10.6) "
"   2","  116 (29.2) "
"   3","   73 (18.4) "
"   4","  104 (26.2) "
"   5","   62 (15.6) "
"stop_wdl_exp_combined (%)","  "
"   0","  162 (40.8) "
"   1","  123 (31.0) "
"   2","    3 ( 0.8) "
"   3","    1 ( 0.3) "
"   4","    1 ( 0.3) "
"   5","  107 (27.0) "
"wdl_symptom_count (mean (SD))"," 0.95 (1.00)"
"motivation_1 (mean (SD))"," 3.18 (1.25)"
"motivation_2 (mean (SD))"," 2.43 (1.17)"
"motivation_3 (mean (SD))"," 2.74 (1.30)"
"desires_1 (mean (SD))"," 2.66 (1.15)"
"desires_2 (mean (SD))"," 2.53 (0.97)"
"desires_3 (mean (SD))"," 3.67 (1.14)"
"capability_1 (mean (SD))"," 3.12 (1.20)"
"capability (mean (SD))"," 3.17 (1.29)"
"BFI_Extraversion (mean (SD))"," 3.23 (1.04)"
"BFI_Agreeableness (mean (SD))"," 3.71 (0.90)"
"BFI_Conscientiousness (mean (SD))"," 4.10 (0.88)"
"BFI_Neuroticism (mean (SD))"," 2.92 (1.02)"
"BFI_Openness (mean (SD))"," 3.52 (0.92)"
"SURPS_Impulsivity (mean (SD))"," 2.09 (0.53)"
"SURPS_Sensation_Seeking (mean (SD))"," 1.96 (0.53)"
"SURPS_Hopelessness (mean (SD))"," 2.07 (0.50)"
"SURPS_Anxiety_Sensitivity (mean (SD))"," 2.58 (0.50)"
"DBAS_Consequences (mean (SD))"," 5.76 (2.10)"
"DBAS_Worry_Helplessness (mean (SD))"," 6.04 (1.81)"
"DBAS_Expectations (mean (SD))"," 6.26 (2.29)"
"DBAS_Medications (mean (SD))"," 5.53 (2.00)"
"CISS_Task (mean (SD))"," 3.69 (0.66)"
"CISS_Emotion (mean (SD))"," 2.91 (0.87)"
"CISS_Avoidance (mean (SD))"," 2.81 (0.75)"
