"Variable","VIF"
"SURPS_Hopelessness",1.27667784548418
"BFI_Neuroticism",1.20575475276919
"BFI_Extraversion",1.15665857915518
"BFI_Conscientiousness",1.1278667940414
"CISS_Emotion",1.1095962562694
"SURPS_Anxiety_Sensitivity",1.10442385923241
"BFI_Openness",1.07717127730237
"DBAS_Medications",1.07055392440335
"sex",1.06946653215051
"income",1.0646869914175
"driving_freq",1.06080453012723
"age",1.05736191468652
"education",1.03942029432157
"employment",1.02610985827242
