term,OR_full,p_full,lower_full,upper_full,OR_clean,p_clean,lower_clean,upper_clean,OR_full_CI,OR_clean_CI,OR_change_pct,Sig_full,Sig_clean,Robustness
BFI_Extraversion,1.3640512524786252,0.006335985051598541,1.0941382301469407,1.7104907715072526,1.8926791792920818,7.3767563728691184e-6,1.4417665120437984,2.522738342830332,"1.36 [1.09, 1.71]","1.89 [1.44, 2.52]",38.7542569132123,TRUE,TRUE,✓ Robust (remains sig)
CISS_Emotion,0.6956602920326904,0.1097062851047789,0.4449156611466673,1.0858482841536077,0.5843783267480451,0.07020266688612335,0.32521213636804286,1.0445414457341862,"0.70 [0.44, 1.09]","0.58 [0.33, 1.04]",-15.996595832641821,FALSE,FALSE,Both non-significant
DBAS_Medications,0.8291947854351625,0.006182171454615573,0.7235263576790906,0.9466998387970822,0.7096261893594524,5.8033222997770916e-5,0.5974304768428645,0.8356375055004581,"0.83 [0.72, 0.95]","0.71 [0.60, 0.84]",-14.419844188113203,TRUE,TRUE,✓ Robust (remains sig)
BFI_Conscientiousness,0.9809819850370017,0.890353058853775,0.7484332393082649,1.2940968634975858,1.064347837849202,0.7178919766773204,0.76250174429514606,1.5037102045483934,"0.98 [0.75, 1.29]","1.06 [0.76, 1.50]",8.498204256937065,FALSE,FALSE,Both non-significant
