Model,N,AUC,Lower,Upper,AUC_formatted
With influential cases,301,0.6815064298836497,0.6079835726920081,0.7550292870752912,"0.682 [0.608, 0.755]"
Without influential cases,278,0.793659420289855,0.7321733187131026,0.8551455218666074,"0.794 [0.732, 0.855]"
