"","Overall","0","1","p","test","SMD"
"   5","   31 ( 7.8) ","   17 ( 5.6) ","   14 ( 15.1) ","","",""
"side_effects_2 (%)","  ","  ","   "," 0.029",""," 0.363"
"   1","  102 (25.7) ","   77 (25.3) ","   25 ( 26.9) ","","",""
"   2","  170 (42.8) ","  139 (45.7) ","   31 ( 33.3) ","","",""
"   3","   49 (12.3) ","   37 (12.2) ","   12 ( 12.9) ","","",""
"   4","   34 ( 8.6) ","   19 ( 6.2) ","   15 ( 16.1) ","","",""
"   5","   42 (10.6) ","   32 (10.5) ","   10 ( 10.8) ","","",""
"side_effects_3 (%)","  ","  ","   "," 0.173",""," 0.269"
"   1","  207 (52.1) ","  158 (52.0) ","   49 ( 52.7) ","","",""
"   2","  122 (30.7) ","   98 (32.2) ","   24 ( 25.8) ","","",""
"   3","   11 ( 2.8) ","    8 ( 2.6) ","    3 (  3.2) ","","",""
"   4","   17 ( 4.3) ","    9 ( 3.0) ","    8 (  8.6) ","","",""
"   5","   40 (10.1) ","   31 (10.2) ","    9 (  9.7) ","","",""
"side_effects_4 (%)","  ","  ","   "," 0.044",""," 0.371"
"   1","   39 ( 9.8) ","   25 ( 8.2) ","   14 ( 15.1) ","","",""
"   2","   88 (22.2) ","   69 (22.7) ","   19 ( 20.4) ","","",""
"   3","  155 (39.0) ","  129 (42.4) ","   26 ( 28.0) ","","",""
"   4","   77 (19.4) ","   54 (17.8) ","   23 ( 24.7) ","","",""
"   5","   38 ( 9.6) ","   27 ( 8.9) ","   11 ( 11.8) ","","",""
"safety_1 (%)","  ","  ","   "," 0.023",""," 0.363"
"   1","  102 (25.7) ","   76 (25.0) ","   26 ( 28.0) ","","",""
"   2","  185 (46.6) ","  150 (49.3) ","   35 ( 37.6) ","","",""
"   3","   49 (12.3) ","   39 (12.8) ","   10 ( 10.8) ","","",""
"   4","   15 ( 3.8) ","    7 ( 2.3) ","    8 (  8.6) ","","",""
"   5","   46 (11.6) ","   32 (10.5) ","   14 ( 15.1) ","","",""
