"Personality","Confounder","Interaction","p_value","Significant"
"BFI_Openness","osss_3_score","BFI_Openness:osss_3_score",0.925359759989833,FALSE
"DBAS_Consequences","osss_3_score","DBAS_Consequences:osss_3_score",0.151769882435075,FALSE
"DBAS_Worry_Helplessness","osss_3_score","DBAS_Worry_Helplessness:osss_3_score",0.368231513860813,FALSE
"DBAS_Expectations","osss_3_score","DBAS_Expectations:osss_3_score",0.234543059646874,FALSE
"DBAS_Medications","osss_3_score","DBAS_Medications:osss_3_score",0.839751220328938,FALSE
"SURPS_Impulsivity","osss_3_score","SURPS_Impulsivity:osss_3_score",0.354122946722712,FALSE
"SURPS_Sensation_Seeking","osss_3_score","SURPS_Sensation_Seeking:osss_3_score",0.738025442386534,FALSE
"SURPS_Hopelessness","osss_3_score","SURPS_Hopelessness:osss_3_score",0.255703006643648,FALSE
"SURPS_Anxiety_Sensitivity","osss_3_score","SURPS_Anxiety_Sensitivity:osss_3_score",0.353536379552552,FALSE
"CISS_Task","osss_3_score","CISS_Task:osss_3_score",0.296252963136386,FALSE
"CISS_Emotion","osss_3_score","CISS_Emotion:osss_3_score",0.533213558338401,FALSE
"CISS_Avoidance","osss_3_score","CISS_Avoidance:osss_3_score",0.888973715651817,FALSE
"BFI_Extraversion","n_health_conditions","BFI_Extraversion:n_health_conditions",0.314046067986209,FALSE
"BFI_Agreeableness","n_health_conditions","BFI_Agreeableness:n_health_conditions",0.0806975469400166,TRUE
"BFI_Conscientiousness","n_health_conditions","BFI_Conscientiousness:n_health_conditions",0.128742159388698,FALSE
"BFI_Neuroticism","n_health_conditions","BFI_Neuroticism:n_health_conditions",0.51072909565876,FALSE
"BFI_Openness","n_health_conditions","BFI_Openness:n_health_conditions",0.369136579668319,FALSE
"DBAS_Consequences","n_health_conditions","DBAS_Consequences:n_health_conditions",0.020309605106607,TRUE
"DBAS_Worry_Helplessness","n_health_conditions","DBAS_Worry_Helplessness:n_health_conditions",0.0531407562592022,TRUE
"DBAS_Expectations","n_health_conditions","DBAS_Expectations:n_health_conditions",0.536417868020734,FALSE
"DBAS_Medications","n_health_conditions","DBAS_Medications:n_health_conditions",0.268661021570068,FALSE
"SURPS_Impulsivity","n_health_conditions","SURPS_Impulsivity:n_health_conditions",0.58060049731684,FALSE
"SURPS_Sensation_Seeking","n_health_conditions","SURPS_Sensation_Seeking:n_health_conditions",0.608273628571859,FALSE
"SURPS_Hopelessness","n_health_conditions","SURPS_Hopelessness:n_health_conditions",0.326880792887083,FALSE
"SURPS_Anxiety_Sensitivity","n_health_conditions","SURPS_Anxiety_Sensitivity:n_health_conditions",0.197801092447286,FALSE
"CISS_Task","n_health_conditions","CISS_Task:n_health_conditions",0.63372872390896,FALSE
"CISS_Emotion","n_health_conditions","CISS_Emotion:n_health_conditions",0.644504842239558,FALSE
"CISS_Avoidance","n_health_conditions","CISS_Avoidance:n_health_conditions",0.232050039188561,FALSE
