"Metric","Mean","SD","CI_95"
"AUC",0.613024691358025,0.0666722908677246,"[0.482, 0.744]"
"Accuracy",0.66025641025641,0.107356535199745,"[0.45, 0.871]"
"Sensitivity",0.598148148148148,0.21276991639056,"[0.181, 1]"
"Specificity",0.678888888888889,0.196323162575061,"[0.294, 1]"
"Precision",0.394518073082259,0.0894129898719194,"[0.219, 0.57]"
"F1",0.441142794539466,0.0714551185873934,"[0.301, 0.581]"
